protein	F4	F8	F12	F2	F6	F10	F3	F7	F11	F1	F5	F9
A0A0B4J2D5	12081256.403097544	13820862.012636347	10365520.731006498	12655890.795469925	15172540.115117293	9744488.35163651	6387945.315977245	7148771.774976425	6060981.770268506	5022539.45153882	4560426.595815454	5184400.34884502
A0A0B4J2E0	1165786.8902847427	1190680.6948770843	784793.6466512389	1382673.875	3243023.718263685	643280.7198560941	639956.1594165497	653410.2115934971	598781.4064281615	1773975.4001117134	1369665.3531933979	1120385.8209395471
A0AVT1	10555554.878720725	9337143.254696708	10737477.665484354	9922714.442514753	9518635.235530475	10162610.452573251	4388075.895552643	4419295.635789604	4515298.3585068835	4277283.707949157	4491618.282590118	4406195.5712450575
A0FGR8	2660100.1755649974	2710471.81843335	2303038.9105674895	2218228.7505334937	2476698.625305026	2653728.154613674	973170.4555774388	872374.7035840866	1026017.5903059795	1440564.132062774	1541788.7417675368	1535089.5882031333
A0JLT2	127201.88423017526	103058.97979865587	71882.83491418695	94872.23425015913	185256.05913201437	67872.23253629539	135082.6570370545	150593.62328958296	122109.13460749127	134533.12059340646	163573.19878519425	102696.63768391557
A1L020	970423.6275744651	763684.0292789289	987705.462649576	927487.4311365762	889749.942654097	957656.1420348462	1486314.9497670087	1373614.8378177562	1413680.3423905324	1022348.1357124714	1434642.3757897567	1480659.0662896947
A1L020; Q6ZN04	17434.340994124643	16461.703362692926	0.0	32518.541015625015	32855.53930990093	22699.094833562373	81726.40380145221	82643.09616782703	71330.84287834533	56323.650594979015	69176.61796873318	69093.72565076171
A1L0T0	2850170.8456520643	2597375.885731599	1692274.226277959	3374664.612969251	4160415.1025769897	2014777.4467229394	4356617.368607172	4831296.557520771	2501244.2841030895	4487884.460783628	6913367.704367311	3098361.5251477747
A1X283	845884.5697885202	834298.3009430666	805153.5491265582	961922.4656519695	1026373.8098286465	845027.1989670936	426433.5739498533	464520.9697338229	402787.3905050012	365145.49724289397	367096.1057751744	397597.2912275675
A2RRP1	1233303.7439734875	856723.8186189152	670329.8585339987	696110.3570576006	1154595.8368915603	471225.08553879266	1464496.6768700168	1354850.5933821108	1012845.1390527519	1420574.9728870015	1992491.3874305603	1010905.0080700321
A3KN83	417992.43550814735	354248.7040295745	341688.7668972736	488827.6758998232	563596.5772575033	510285.792960527	563334.7040346629	669355.9989276932	583515.9683530339	543460.1861667848	496912.1872201193	562229.7388902663
A4D1E9	149941.07704465766	163062.26780014567	113190.41688412247	117816.06724875071	124768.68969473752	62315.05655871087	312305.3055825618	319112.3167163208	236598.03108782083	268473.2229634092	316086.50380715233	190646.4157875919
A4FU28	409122.2378868297	480771.0304548794	190626.7580197675	401897.08057619334	495494.5436472185	248271.55208086735	349252.48512588063	276589.02700696175	386366.86550806114	504687.5534682325	417780.1218701186	399037.39741096954
A4FU49	40873.953836549794	49988.65965022244	44370.932991084206	30604.337890625004	36015.48484556031	29078.494428695023	170365.0805829159	124444.62077613358	86797.25541817072	170382.60582670322	150965.20864909154	145608.3762738029
A4UGR9	252022.16211538005	284623.3635331445	310194.05574515765	253204.46875000015	176993.17986008406	185439.85589177438	75110.94383567605	47571.41962627349	82352.4420367724	27868.99428234302	0.0	0.0
A5YKK6	7173322.982508553	7630127.862423976	7277807.805113686	7207665.958804868	6670447.77910368	7320288.698570215	5645969.017078488	5518187.888324882	5624661.0103965355	4802823.636784425	5153380.284624865	4969977.294190329
A6ND36	156999.23875933603	191943.29787113945	184750.62087491064	186024.12499999997	204125.70074407264	214639.94523033404	228774.5233245139	227474.551540997	195724.97287772974	243716.5307861518	262907.0887973679	258563.12772569913
A6NDG6	1465365.4929914093	1580640.5697436146	1563515.657357247	1383353.9985386878	1284746.672552491	1680905.1668020035	1263095.6139651295	1296293.531091805	1844864.75246951	1633899.241946865	1345246.2550509581	1564555.2713333846
A6NDU8	119526.10046730211	103714.8935858391	62037.58946070935	78844.77343749997	78877.64567396723	40304.50162339493	134088.50054869935	149300.58491606233	62922.87217840242	121874.29657980066	162944.32122527703	62329.603610392594
A6NHQ2	0.0	0.0	0.0	190052.235807738	173000.44194993787	244487.3562101447	241277.44839953995	319040.5206920285	342765.57890777255	418878.27126794273	570870.5061959544	548032.8850997891
A6NHQ2; P22087	3454207.6044473145	4010187.94246698	4404321.127385636	6775662.247323427	5879103.9268213175	6117165.943657258	5386455.539944605	5783157.021765104	5257908.849419262	3489793.241674547	3880375.195053724	4552062.694681283
A6NHR9	2041479.662973476	2233958.478622453	2092227.7403853075	2176045.3988294946	2098967.8177458844	2140252.438857605	1120481.1429456945	1327758.0329264125	1260967.7058905077	1495893.1946067596	1550464.0842502553	1307752.571718217
A6NHX0	198851.0819490297	88900.88833335985	0.0	127197.3437500001	186202.55446087988	0.0	0.0	0.0	249229.25285008678	262590.8826559841	217012.71082439664	180921.18747388604
A6NIH7	384693.48955842946	426275.5383375375	422729.31796132936	403575.48199664836	379518.9000889431	438409.14179803815	357633.6834641051	386883.53309804614	317501.4655422572	245575.7094267674	342386.11418551893	322466.1065555899
