sample_1,sample,cellline,treatment,protein_quant,protein_count,protein_abundance_sum,mbr_count,high_count,peptide_quant,peptide_count,peptide_abundance_sum,unique_pep2_protein_count
F4,Sample,AS,kd,1.0,6,758038064.47004,2,4,0.9390243902439024,77,772899551.6631501,5
F8,Sample,AS,kd,1.0,6,589543236.20431,2,4,0.9390243902439024,77,600989484.559,5
F12,Sample,AS,kd,1.0,6,807421212.3927299,2,4,0.926829268292683,76,822457506.5555296,5
F2,Sample,AS,sc,1.0,6,552244911.2033999,1,5,0.926829268292683,76,561878674.6545901,5
F6,Sample,AS,sc,1.0,6,571438298.3403,3,3,0.9390243902439024,77,582878357.8954402,5
F10,Sample,AS,sc,1.0,6,733403597.1074,1,5,0.9146341463414634,75,752612634.19002,5
F3,Sample,BE,kd,1.0,6,815006255.8113,2,4,0.975609756097561,80,826239727.3012797,5
F7,Sample,BE,kd,1.0,6,788420796.2324,2,4,0.975609756097561,80,797419719.2449497,5
F11,Sample,BE,kd,1.0,6,1048618594.2396,2,4,0.9634146341463414,79,1063223656.0459296,5
F1,Sample,BE,sc,0.8333333333333334,5,834844786.5127001,0,5,0.975609756097561,80,847881702.5852301,5
F5,Sample,BE,sc,0.8333333333333334,5,744098837.62,0,5,0.9878048780487805,81,753769596.68962,5
F9,Sample,BE,sc,0.8333333333333334,5,926556809.99,0,5,0.975609756097561,80,939986975.5151299,5
