"Checked"	"Protein Group FDR Confidence: Combined"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. Protein Group q-value: Combined"	"Exp. Protein q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Protein Unique Peptides"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score CHIMERYS on Ardia Server: CHIMERYS on Ardia Server"	"# Peptides (by Search Engine): CHIMERYS on Ardia Server"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Gene ID"	"Reactome Pathways"	"# Protein Pathway Groups"	"# Razor Peptides"	"Abundance: F4: Sample, AS, RA, kd, d7"	"Abundance: F5: Sample, AS, RA, kd, d7"	"Abundance: F6: Sample, AS, RA, kd, d7"	"Abundance: F10: Sample, AS, RA, sc, d7"	"Abundance: F11: Sample, AS, RA, sc, d7"	"Abundance: F12: Sample, AS, RA, sc, d7"	"Abundance: F16: Sample, BE, RA, kd, d7"	"Abundance: F17: Sample, BE, RA, kd, d7"	"Abundance: F18: Sample, BE, RA, kd, d7"	"Abundance: F22: Sample, BE, RA, sc, d7"	"Abundance: F23: Sample, BE, RA, sc, d7"	"Abundance: F24: Sample, BE, RA, sc, d7"	"Found in Sample: F4: Sample, AS, RA, kd, d7"	"Found in Sample: F5: Sample, AS, RA, kd, d7"	"Found in Sample: F6: Sample, AS, RA, kd, d7"	"Found in Sample: F10: Sample, AS, RA, sc, d7"	"Found in Sample: F11: Sample, AS, RA, sc, d7"	"Found in Sample: F12: Sample, AS, RA, sc, d7"	"Found in Sample: F16: Sample, BE, RA, kd, d7"	"Found in Sample: F17: Sample, BE, RA, kd, d7"	"Found in Sample: F18: Sample, BE, RA, kd, d7"	"Found in Sample: F22: Sample, BE, RA, sc, d7"	"Found in Sample: F23: Sample, BE, RA, sc, d7"	"Found in Sample: F24: Sample, BE, RA, sc, d7"	"# Protein Groups"	"Modifications"	"Abundances (Grouped): AS, RA, kd, d7"	"Abundances (Grouped): AS, RA, sc, d7"	"Abundances (Grouped): BE, RA, kd, d7"	"Abundances (Grouped): BE, RA, sc, d7"	"Abundances (Grouped) CV [%]: AS, RA, kd, d7"	"Abundances (Grouped) CV [%]: AS, RA, sc, d7"	"Abundances (Grouped) CV [%]: BE, RA, kd, d7"	"Abundances (Grouped) CV [%]: BE, RA, sc, d7"
"False"	"High"	"High"	"IsMasterProtein"	"Q15149"	"Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3"	"0.00000"	"0.00000"	"1206.406"	"67"	"297"	"3856"	"0"	"288"	"4684"	"531.5"	"5.96"	"1775.13"	"298"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;developmental processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00307, Pf00681, Pf03501, Pf17902, Pf18373, Pf21019, Pf21020, Pf21097"	"5339"	"ENSG00000178209"	"PLEC"	"hsa:5339; Q15148; Q15149; Q16640; Q6S376; Q6S377; Q6S378; Q6S379; Q6S380; Q6S381; Q6S382; Q6S383"	"Assembly of collagen fibrils and other multimeric structures; Caspase-mediated cleavage of cytoskeletal proteins; Type I hemidesmosome assembly"	"4"	"11"	"241674429.000488"	"320410635.544434"	"294323245.6875"	"164085649.352051"	"191701317.692627"	"115284121.463745"	"79497195.8999023"	"77830939.4584961"	"84425386.5668945"	"111013793.757202"	"58847.5892333984"	"96818403.375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"294323245.6875"	"164085649.352051"	"79497195.8999023"	"96818403.375"	"14.05"	"24.64"	"4.26"	"87.13"
"False"	"High"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5"	"0.00000"	"0.00000"	"1137.707"	"61"	"245"	"3908"	"0"	"245"	"4646"	"532.1"	"6.40"	"1711.24"	"246"	"cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes"	"non-structural extracellular;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component"	"cytoskeletal activity;other molecular function"	"Pf03028, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf17852, Pf18198, Pf18199, Pf22597"	"1778"	"ENSG00000197102"	"DYNC1H1"	"B0I1R0; hsa:1778; Q14204; Q6DKQ7; Q8WU28; Q92814; Q9Y4G5"	"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Neutrophil degranulation; MHC class II antigen presentation; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Recruitment of NuMA to mitotic centrosomes; RHO GTPases Activate Formins; COPI-mediated anterograde transport; COPI-independent Golgi-to-ER retrograde traffic; HCMV Early Events; Aggrephagy; EML4 and NUDC in mitotic spindle formation; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"25"	"0"	"216135211.446289"	"290404009.064453"	"250703452.519043"	"111837737.541504"	"152183839.191406"	"76262705.9851074"	"250737052.191895"	"220603836.736328"	"241857258.609375"	"231386361.424805"	"152669.193603516"	"246838224.272461"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"250703452.519043"	"111837737.541504"	"241857258.609375"	"231386361.424805"	"14.72"	"33.49"	"6.51"	"86.66"
"False"	"High"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2"	"0.00000"	"0.00000"	"1137.197"	"74"	"246"	"4723"	"0"	"243"	"5890"	"628.7"	"6.15"	"2552.90"	"246"	"other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component"	"other molecular function"	""	"79026"	"ENSG00000124942"	"AHNAK"	"A1A586; hsa:79026; Q09666"	""	"0"	"3"	"640288821.736328"	"824953035.589844"	"742448139.79541"	"385391753.728394"	"480954390.715332"	"285038971.827637"	"298880573.463379"	"296669062.469238"	"299211987.284668"	"353997861.34082"	"792540.268554688"	"315287100.891479"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"742448139.79541"	"385391753.728394"	"298880573.463379"	"315287100.891479"	"12.57"	"25.53"	"0.46"	"86.73"
"False"	"High"	"High"	"IsMasterProtein"	"Q9UPN3"	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4"	"0.00000"	"0.00000"	"965.987"	"42"	"264"	"3242"	"0"	"163"	"7388"	"837.8"	"5.39"	"1107.76"	"266"	"cell organization and biogenesis;stress response;transport;signal transduction;other biological processes"	"plasma membrane;other membranes;cytoskeleton;ER/Golgi;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00307, Pf00435, Pf00681, Pf02187, Pf13499, Pf17902, Pf18373, Pf21019, Pf21020, Pf21097"	"23499"	"ENSG00000127603"	"MACF1"	"B1ALC5; E9PJT0; hsa:23499; O75053; Q5VW20; Q8WXY1; Q8WXY2; Q96PK2; Q9H540; Q9UKP0; Q9ULG9; Q9UPN3"	""	"2"	"110"	"42378398.9765625"	"57607336.6015625"	"46959445.255127"	"24722839.9659424"	"31939796.0675659"	"16463939.2202148"	"59569434.2744141"	"54331121.6674805"	"58015416.0400391"	"66868032.5556641"	"11211.5166015625"	"64919482.1298828"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"46959445.255127"	"24722839.9659424"	"58015416.0400391"	"64919482.1298828"	"15.95"	"31.77"	"4.69"	"86.61"
"False"	"High"	"High"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3"	"0.00000"	"0.00000"	"950.307"	"55"	"210"	"3316"	"0"	"210"	"4128"	"468.8"	"7.12"	"1715.24"	"210"	"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes"	"cytosol;nucleus;other cell component"	"nucleic acid binding activity;kinase activity;other molecular function"	"Pf00454, Pf02259, Pf02260, Pf08163, Pf19704, Pf20502"	"5591"	"ENSG00000253729"	"PRKDC"	"hsa:5591; P78527; P78528; Q13327; Q13337; Q14175; Q59H99; Q7Z611; Q96SE6; Q9UME3"	"E3 ubiquitin ligases ubiquitinate target proteins; Cytosolic sensors of pathogen-associated DNA ; Nonhomologous End-Joining (NHEJ); IRF3-mediated induction of type I IFN"	"15"	"0"	"320953797.695923"	"374591108.386719"	"303693440.69043"	"126934244.074219"	"171516164.749268"	"89949819.9736328"	"312882385.468994"	"261271658.050293"	"296665368.59729"	"273953455.331543"	"68517.1428222656"	"287971330.674194"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"320953797.695923"	"126934244.074219"	"296665368.59729"	"273953455.331543"	"11.10"	"31.55"	"9.09"	"86.65"
"False"	"High"	"High"	"IsMasterProtein"	"Q03001"	"Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4"	"0.00000"	"0.00000"	"940.863"	"48"	"300"	"2881"	"0"	"289"	"7570"	"860.1"	"5.25"	"841.28"	"307"	"cell adhesion;cell organization and biogenesis;stress response;transport;signal transduction;other biological processes"	"extracellular matrix;plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00307, Pf00435, Pf00681, Pf02187, Pf13499, Pf17902, Pf18373, Pf21019, Pf21020, Pf21097"	"667"	"ENSG00000151914"	"DST"	"B7Z3H1; E7ERU0; hsa:667; O94833; Q03001; Q12825; Q13266; Q13267; Q13775; Q5TBT0; Q5TBT2; Q5TF23; Q5TF24; Q8N1T8; Q8N8J3; Q8WXK8; Q8WXK9; Q96AK9; Q96DQ5; Q96J76; Q96QT5; Q9H555; Q9UGD7; Q9UGD8; Q9UN10"	"RND2 GTPase cycle; RHOV GTPase cycle; RHOU GTPase cycle; RND3 GTPase cycle; RND1 GTPase cycle; Type I hemidesmosome assembly"	"6"	"14"	"16014307.932373"	"20367657.8520508"	"17350859.1499023"	"8819646.39135742"	"11223640.0546875"	"6060666.04223633"	"45986079.8554688"	"40812059.5922852"	"47389829.8310547"	"51581732.4233398"	"25934.7192382813"	"52319210.7692871"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"17350859.1499023"	"8819646.39135742"	"45986079.8554688"	"51581732.4233398"	"12.45"	"29.69"	"7.75"	"86.54"
"False"	"High"	"High"	"IsMasterProtein"	"Q13813"	"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3"	"0.00000"	"0.00000"	"836.629"	"72"	"157"	"2524"	"0"	"157"	"2472"	"284.4"	"5.35"	"1188.31"	"159"	"cell organization and biogenesis"	"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00018, Pf00435, Pf08726, Pf13499"	"6709"	"ENSG00000197694"	"SPTAN1"	"hsa:6709; Q13186; Q13813; Q15324; Q16606; Q59EF1; Q5VXV5; Q5VXV6; Q7Z6M5; Q9P0V0"	"Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; COPI-mediated anterograde transport; RHOV GTPase cycle; Neutrophil degranulation; RHOU GTPase cycle; Nephrin family interactions; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; Caspase-mediated cleavage of cytoskeletal proteins"	"14"	"0"	"355454819.427246"	"446046571.494141"	"374327127.921875"	"165268716.564697"	"210507144.902344"	"108462307.078857"	"284398680.753906"	"269887322.793945"	"284112199.739258"	"265570062.076172"	"365333.109130859"	"278003822.990723"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"374327127.921875"	"165268716.564697"	"284112199.739258"	"265570062.076172"	"12.19"	"31.68"	"2.97"	"86.50"
"False"	"High"	"High"	"IsMasterProtein"	"Q01082"	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2"	"0.00000"	"0.00000"	"812.112"	"70"	"143"	"2676"	"0"	"130"	"2364"	"274.4"	"5.57"	"1230.22"	"143"	"cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00169, Pf00307, Pf00435"	"6711"	"ENSG00000115306"	"SPTBN1"	"B2RP63; hsa:6711; O60837; Q01082; Q16057; Q53R99; Q59ER3; Q8IX99"	"Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; COPI-mediated anterograde transport; RHOV GTPase cycle; RHOU GTPase cycle; Nephrin family interactions; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins; Signaling by FLT3 fusion proteins"	"11"	"15"	"338363865.894043"	"437446460.905762"	"384466551.734131"	"165552859.189453"	"204568760.206421"	"117887538.376465"	"242443561.183594"	"235277579.517578"	"239213258.290771"	"234971741.890747"	"168705.693603516"	"241765494.298828"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"384466551.734131"	"165552859.189453"	"239213258.290771"	"234971741.890747"	"12.82"	"26.69"	"1.50"	"86.54"
"False"	"High"	"High"	"IsMasterProtein"	"Q5T4S7"	"E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1"	"0.00000"	"0.00000"	"732.167"	"47"	"199"	"2404"	"0"	"199"	"5183"	"573.5"	"6.04"	"913.39"	"202"	"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component"	"other molecular function"	"Pf02207, Pf13764, Pf19423, Pf24079"	"23352"	"ENSG00000127481"	"UBR4"	"A8MPT2; A8MQ33; A8MQB1; hsa:23352; O60646; O75050; Q4QRK5; Q5T4S7; Q5T4S8; Q5T4S9; Q5TBN8; Q5TBP2; Q6DKH8; Q6P4A4; Q7L8P7; Q8IXJ4; Q8TDN5; Q8WV67; Q9HA46; Q9P2N9; Q9UG82"	"Antigen processing: Ubiquitination & Proteasome degradation; Neutrophil degranulation"	"2"	"0"	"55826642.7520752"	"73026378.2272949"	"63660052.2888184"	"28800887.8173828"	"34941561.0288086"	"18930129.6884766"	"59587707.5449219"	"52248713.6918945"	"57918408.5336914"	"43679583.4162598"	"11588.6162109375"	"46123992.6164551"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"63660052.2888184"	"28800887.8173828"	"57918408.5336914"	"43679583.4162598"	"13.42"	"29.31"	"6.80"	"86.67"
"False"	"High"	"High"	"IsMasterProtein"	"O75369"	"Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2"	"0.00000"	"0.00000"	"720.413"	"71"	"143"	"2433"	"0"	"130"	"2602"	"278.0"	"5.73"	"1229.37"	"143"	"cell organization and biogenesis;stress response;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00307, Pf00630"	"2317"	"ENSG00000136068"	"FLNB"	"B2ZZ83; B2ZZ84; B2ZZ85; C9JKE6; C9JMC4; hsa:2317; O75369; Q13706; Q59EC2; Q60FE7; Q6MZJ1; Q8WXS9; Q8WXT0; Q8WXT1; Q8WXT2; Q8WXT3; Q9NRB5; Q9NT26; Q9UEV9"	"ISG15 antiviral mechanism"	"6"	"2"	"316896691.90332"	"415102996.330078"	"359904927.253418"	"188882087.125977"	"243451514.616699"	"128215310.923828"	"263065625.62793"	"268990875.546875"	"258179407.205078"	"323913918.498047"	"507350.333984375"	"325664239.172852"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""	"359904927.253418"	"188882087.125977"	"263065625.62793"	"323913918.498047"	"13.53"	"30.85"	"2.06"	"86.40"
